casinocode,departingat,arrivingat,departingairport,
TRW,05/19/22,05/22/22,ACV,
TRW,05/20/22,05/23/22,BFL,
TRW,05/20/22,05/24/22,DFW,
TRW,05/20/22,05/24/22,IAH,
TRW,05/20/22,05/24/22,OMA,
TRW,05/22/22,05/26/22,AUS,
TRW,05/22/22,05/26/22,ACV,
TRW,05/22/22,05/27/22,JFK,
TRW,05/23/22,05/27/22,BFL,
TRW,05/25/22,05/30/22,BUF,
TRW,05/25/22,05/30/22,ORD,
TRW,05/26/22,05/29/22,ACV,
TRW,05/26/22,05/31/22,TPA,
TRW,05/27/22,05/30/22,BFL,
TRW,05/28/22,06/02/22,BHM,
TRW,06/01/22,06/06/22,BWI,
TRW,06/01/22,06/06/22,MCI,
TRW,06/02/22,06/07/22,ATL,
TRW,06/02/22,06/07/22,CLE,
TRW,06/02/22,06/07/22,IND,
TRW,06/02/22,06/07/02,EWR,
TRW,06/02/22,06/07/22,MCO,
TRW,06/02/22,06/07/22,RDU,
TRW,06/03/22,06/07/22,AUS,
TRW,06/03/22,06/07/22,DFW,
TRW,06/03/22,06/06/22,DEN,
TRW,06/03/22,06/07/22,IAH,
TRW,06/03/22,06/05/22,PHX,
TRW,06/05/22,06/10/22,JFK,
TRW,06/06/22,06/11/55,CLT,
TRW,06/08/22,06/13/22,BOS,
TRW,06/09/22,06/14/22,BHM,
TRW,06/09/22,06/14/22,ORD,
TRW,06/09/22,06/14/22,MSY,
TRW,06/09/22,06/14/22,PHL,
TRW,06/09/22,06/12/22,SAN,
TRW,06/09/22,06/14/22,TPA,
TRW,06/10/22,06/13/22,LAS,
TRW,06/10/22,06/12/22,LAX,
TRW,06/10/22,06/12/22,SJC,
TRW,06/10/22,06/12/22,OAK,
TRW,06/10/22,06/14/22,SAT,
TRW,06/10/22,06/12/22,SEA,
TRW,06/12/22,06/17/22,ATL,
TRW,06/13/22,06/18/22,ORD,
TRW,06/14/22,06/19/22,EWR,
TRW,06/15/22,06/20/22,BUF,
TRW,06/15/22,06/20/22,DTW,
TRW,06/15/22,06/20/22,STL,
TRW,06/16/22,06/21/22,MCI,
TRW,06/16/22,06/21/22,BNA,
TRW,06/16/22,06/20/22,OKC,
TRW,06/16/22,06/21/22,PIT,
TRW,06/17/22,06/21/22,IAH,
TRW,06/17/22,06/19/22,LAS,
TRW,06/17/22,06/20/22,LAX,
TRW,06/17/22,06/22/22,SDF,
TRW,06/17/22,06/20/22,SJC,
TRW,06/17/22,06/19/22,OAK,
TRW,06/17/22,06/19/22,PHX,
TRW,06/17/22,06/19/22,SAN,
TRW,06/18/22,06/23/22,JFK,
TRW,06/21/22,06/23/22,SEA,
TRW,06/22/22,06/27/22,BWI,
TRW,06/22/22,06/27/22,CLT,
TRW,06/23/22,06/28/22,ATL,
TRW,06/23/22,06/28/22,ORD,
TRW,06/23/22,06/28/22,EWR,
TRW,06/24/22,06/28/22,DFW,
TRW,06/24/22,06/27/22,DEN,
TRW,06/24/22,06/28/22,ELP,
TRW,06/24/22,06/26/22,LAS,
TRW,06/24/22,06/26/22,LAX,
TRW,06/24/22,06/26/22,SJC,
TRW,06/24/22,06/26/22,OAK,
TRW,06/24/22,06/28/22,OMA,
TRW,06/24/22,06/26/22,SAN,
TRW,06/25/22,06/29/22,IAH,
TRW,5/5/2022,5/9/2022,SHV,
TRW,5/6/2022,5/10/2022,STL,
TRW,5/9/2022,5/13/2022,IAH,
TRW,5/12/2022,5/16/2022,TYS,
TRW,5/15/2022,5/19/2022,DTW,
TRW,5/18/2022,5/22/2022,DSM,
TRW,5/18/2022,5/22/2022,FSD,
TRW,6/4/2022,6/8/2022,CMH,
TRW,6/7/2022,6/11/2022,GRB,
TRW,06/088/22,6/12/2022,IND,
TRW,6/11/2022,6/15/2022,GRR,
TRW,6/11/2022,6/15/2022,GRI,
TRW,6/12/2022,6/16/2022,MKE,
TRW,6/15/2022,6/19/2022,MSP,
TRW,6/18/2022,6/22/2022,DFW,
TRW,6/20/2022,6/24/2022,MCI,
TRW,6/23/2022,6/27/2022,MBS,
TRW,6/23/2022,6/27/2022,DEN,
TRW,7/14/2022,7/18/2022,MDW,
TRW,7/18/2022,7/22/2022,MKE,
TRW,7/20/2022,7/24/2022,DFW,
TRW,7/23/2022,7/27/2022,DTW,
UTU,5/9/2022,5/12/2022,CAE,
UTU,6/8/2022,6/11/2022,CHA,
UTU,7/6/2022,7/9/2022,SAT,
